store_name,owner_name,contact_number,address,city,website,google_maps_url
Kajaria Tiles Authorised Showroom - Jaipur Tiles & Granite,,09694317171,"HP Petrol Pump, Jhotwara Rd, Gokulpura, Hathod, Jaipur, Rajasthan 302012",Jaipur,,,Tile store,https://www.kajariaceramics.com/,https://www.google.com/maps/place/Kajaria+Tiles+Authorised+Showroom+-+Jaipur+Tiles+%26+Granite/data=!4m7!3m6!1s0x396db344e5fab14f:0x8d9f32f1f480af99!8m2!3d26.945341!4d75.7214712!16s%2Fg%2F11n9dyh4d7!19sChIJT7H65USzbTkRma-A9PEyn40?authuser=0&hl=en&rclk=1
Gwalior Stones,,08440909966,"23,24, Kalwar Rd, Suraj Nagar, Jhotwara, Jaipur, Rajasthan 302012",Jaipur,4.0,4,Natural Stone Wholesaler,,https://www.google.com/maps/place/Gwalior+Stones/data=!4m7!3m6!1s0x396db324d6197409:0x8604457a251a6520!8m2!3d26.9468078!4d75.7285566!16s%2Fg%2F11hblh3kjh!19sChIJCXQZ1iSzbTkRIGUaJXpFBIY?authuser=0&hl=en&rclk=1
Dhoot Imported Marble,,09829063114,"DCM, Ajmer Rd, Heera Nagar, Tagore Nagar, Jaipur, Rajasthan 302021",Jaipur,4.0,7,Marble supplier,,https://www.google.com/maps/place/Dhoot+Imported+Marble/data=!4m7!3m6!1s0x396db4936d69922f:0x8e1bae6321d1f989!8m2!3d26.8920486!4d75.7428131!16s%2Fg%2F11d_8g9fsr!19sChIJL5JpbZO0bTkRifnRIWOuG44?authuser=0&hl=en&rclk=1
S2L Granite SANJ STONE LLP,,Send to phone,"VIT Rd, Ramnagariya, Jaipur, Rajasthan 302017",Jaipur,5.0,10,Granite supplier,,https://www.google.com/maps/place/S2L+Granite+SANJ+STONE+LLP/data=!4m7!3m6!1s0x396dc900099d9547:0xedebf6b583f5c6eb!8m2!3d26.8137689!4d75.8786865!16s%2Fg%2F11mzy79vnn!19sChIJR5WdCQDJbTkR68b1g7X26-0?authuser=0&hl=en&rclk=1
Classic Tiles,,Send to phone,"Kalwar Rd, [no name], Govindpura, Jaipur, Rajasthan 302044",Jaipur,4.8,16,Tile store,,https://www.google.com/maps/place/Classic+Tiles/data=!4m7!3m6!1s0x396c4cd8bb2b3c9f:0x776c43632384dc4a!8m2!3d26.9537356!4d75.6974763!16s%2Fg%2F11tmqf20vm!19sChIJnzwru9hMbDkRStyEI2NDbHc?authuser=0&hl=en&rclk=1
Laxmi Marble & Granites.,,09413324121,"Shop No.27, 28, Meena Wala -Sirsi Rd, Panchyawala, Jaipur, Rajasthan 302034",Jaipur,5.0,10,Granite supplier,,https://www.google.com/maps/place/Laxmi+Marble+%26+Granites./data=!4m7!3m6!1s0x396db366d16658bb:0x27eff7929aad78fb!8m2!3d26.9235454!4d75.7163914!16s%2Fg%2F11b7rxmct0!19sChIJu1hm0WazbTkR-3itmpL37yc?authuser=0&hl=en&rclk=1
Shri Krishna Tiles granite and chemicals,,09079651423,"pillar number 16, Mansarovar metro station, Shop number 4, Jaipur, Rajasthan 302020",Jaipur,5.0,4,Tile store,,https://www.google.com/maps/place/Shri+Krishna+Tiles+granite+and+chemicals/data=!4m7!3m6!1s0x396db5e12a476e93:0xc15301a6ae116386!8m2!3d26.8796681!4d75.749653!16s%2Fg%2F11yrnf4jh_!19sChIJk25HKuG1bTkRhmMRrqYBU8E?authuser=0&hl=en&rclk=1
Shree Balaji traders In Jaipur,,08000021353,"Sirsi Rd, near Ganga Devi filing station, Jaipur, Rajasthan 302012",Jaipur,5.0,5,Tile store,https://shree-balaji-traders.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,https://www.google.com/maps/place/Shree+Balaji+traders+In+Jaipur/data=!4m7!3m6!1s0x396c4d33061df9a7:0x5fb251e5326be38a!8m2!3d26.9216994!4d75.6818319!16s%2Fg%2F11mrd81lrg!19sChIJp_kdBjNNbDkRiuNrMuVRsl8?authuser=0&hl=en&rclk=1
Coral Quartz,,07300069242,"F-78 A, Rd Number 5, behind Cks Hospital, Vishwakarma Industrial Area, Jaipur, Rajasthan 302013",Jaipur,5.0,13,Granite supplier,http://www.coralquartz.com/,https://www.google.com/maps/place/Coral+Quartz/data=!4m7!3m6!1s0x396db3982158bbd7:0xb281baf886ff925c!8m2!3d26.9810136!4d75.777582!16s%2Fg%2F11ldpydtm2!19sChIJ17tYIZizbTkRXJL_hvi6gbI?authuser=0&hl=en&rclk=1
SHIVA TILES & Granite,,09799365865,"Ground Floor, Shree Vinayak Plaza, Plot no 6, Badarwas Road, Manyawas, Mohru Nagar, Mansarovar, Jaipur, Rajasthan 302019",Jaipur,4.6,10,Tile store,,https://www.google.com/maps/place/SHIVA+TILES+%26+Granite/data=!4m7!3m6!1s0x396db59fd41783d9:0x8b302ae788d989ac!8m2!3d26.8795543!4d75.7399558!16s%2Fg%2F11svb8nhjj!19sChIJ2YMX1J-1bTkRrInZiOcqMIs?authuser=0&hl=en&rclk=1
